Metropolitan Area,Rank,1-Quarter,1-Year,5-Years,Since 1991Q1,,,
"Oshkosh-Neenah, WI",142,2.65,5.98,30.29,151.82,,,
"Spartanburg, SC",143,1.84,5.92,36.26,143.34,,,
"Virginia Beach-Norfolk-Newport News, VA-NC",144,1.54,5.9,17.4,170.16,,,
"Philadelphia, PA (MSAD)",145,1.5,5.9,33.2,191.57,,,
"Albany-Schenectady-Troy, NY",146,2.46,5.9,19.32,113.92,,,
"Merced, CA",147,3.27,5.85,39.84,153.28,,,
"Sheboygan, WI",148,0.88,5.84,30.09,171.35,,,
"San Antonio-New Braunfels, TX",149,2.1,5.83,34.99,224.63,,,
"Warren-Troy-Farmington Hills, MI (MSAD)",150,1.81,5.8,32.31,141.87,,,
"York-Hanover, PA",151,1.65,5.79,20.91,109.86,,,
"Hartford-East Hartford-Middletown, CT",152,2.06,5.78,12.61,65.66,,,
"Salinas, CA",153,2.88,5.75,34.76,212.46,,,
"Omaha-Council Bluffs, NE-IA",154,1.72,5.74,31.76,176.42,,,
"Burlington-South Burlington, VT",155,2.12,5.73,21.22,173.72,,,
"Asheville, NC",156,2.21,5.72,36.67,280.61,,,
"Minneapolis-St. Paul-Bloomington, MN-WI",157,1.56,5.7,30.96,210.96,,,
"El Paso, TX",158,1.05,5.68,18.03,118.41,,,
"Raleigh-Cary, NC",159,1.84,5.67,34.46,180.65,,,
"Lubbock, TX",160,0.76,5.64,20.8,148.96,,,
"Durham-Chapel Hill, NC",161,1.51,5.61,34.97,182.89,,,
"Mobile, AL",162,1.44,5.59,28.69,150.04,,,
"New Brunswick-Lakewood, NJ (MSAD)",163,2.33,5.57,21.1,166.09,,,
"Denver-Aurora-Lakewood, CO",164,1.71,5.57,42.32,404.42,,,
"Montgomery County-Bucks County-Chester County, PA (MSAD)",165,1.71,5.56,20.99,138.08,,,
"Salisbury, MD-DE",166,1.31,5.55,21.1,177.74,,,
"Boston, MA (MSAD)",167,1.93,5.51,29.37,228.4,,,
"Sioux City, IA-NE-SD",168,1.52,5.51,28.45,190.83,,,
"Green Bay, WI",169,2.46,5.48,28.92,157.42,,,
"Rockford, IL",170,2.67,5.48,24.37,74.92,,,
"Las Vegas-Henderson-Paradise, NV",171,1.7,5.46,50.47,163.25,,,
"Milwaukee-Waukesha, WI",172,1.59,5.45,26.53,171.34,,,
"Augusta-Richmond County, GA-SC",173,2.72,5.39,29.71,116.52,,,
"New Orleans-Metairie, LA",174,2.09,5.37,22.52,226.15,,,
"Wausau-Weston, WI",175,1.27,5.37,25.18,155.32,,,
"Duluth, MN-WI",176,1.31,5.36,26.02,252.29,,,
"Greeley, CO",177,1.8,5.33,46.65,333.63,,,
"Greenville-Anderson, SC",178,2.17,5.3,37.24,179.86,,,
"Tulsa, OK",179,1.98,5.26,22.61,153.16,,,
"Chico, CA",180,2.15,5.24,45.11,210.89,,,
"Columbia, SC",181,1.37,5.23,24.67,125.47,,,
"Oklahoma City, OK",182,1.07,5.23,21.46,179.09,,,
"Vallejo, CA",183,2.41,5.22,36.69,177.96,,,
"Newark, NJ-PA (MSAD)",184,1.88,5.2,18.51,157.56,,,
"Bloomington, IN",185,1.59,5.2,32.99,186.37,,,
"Tallahassee, FL",186,1.55,5.2,30.45,154.52,,,
"Lawrence, KS",187,1.5,5.19,29.37,186.72,,,
"Nassau County-Suffolk County, NY (MSAD)",188,1.98,5.17,29.11,225.95,,,
"Washington-Arlington-Alexandria, DC-VA-MD-WV (MSAD)",189,1.67,5.16,21.4,197.71,,,
"Topeka, KS",190,2.13,5.16,23.31,125.66,,,
"Fort Worth-Arlington-Grapevine, TX (MSAD)",191,2.39,5.13,42.54,191.04,,,
"Cambridge-Newton-Framingham, MA (MSAD)",192,1.59,5.13,29.3,226.88,,,
"Los Angeles-Long Beach-Glendale, CA (MSAD)",193,1.98,5.13,31.04,214.04,,,
"Lynchburg, VA",194,1.44,5.12,18.52,151.65,,,
"Mankato, MN",195,1.88,5.11,26.38,194.98,,,
"Little Rock-North Little Rock-Conway, AR",196,1.79,5.1,16.24,131.58,,,
"Montgomery, AL",197,1.07,5.1,13.79,80.23,,,
"Lincoln, NE",198,2.22,5.09,30,177.71,,,
"Fond du Lac, WI",199,1.96,5.04,23.56,150.95,,,
"Lexington-Fayette, KY",200,1.46,5.04,28.47,155.18,,,
"Harrisburg-Carlisle, PA",201,1.06,5.02,20.15,126.12,,,
"Madison, WI",202,1.8,4.96,27.32,218.96,,,
"Baltimore-Columbia-Towson, MD",203,1.65,4.93,17.11,157.95,,,
